,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Next_Is_Jannuary
1981-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1981-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0
1982-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1982-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0
1983-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-04-01,-1.4064832740465585,-0.995625585104524,-1.270829455143461,-1.1379545513034877,-0.9952491155450158,-0.4496907828687091,-0.4496907828687091,-0.3129805698862356,-0.5856090026387173,-0.7121707106888935,0.47961870678362784,0.47961870678362784,0.9925886411269701,0.9925886411269701,1.6183041526330386,1.2478329003487107,1.3786945480699018,1.1270375332214622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-05-01,-0.645193395973089,0.13389715812496952,-1.016090228908061,-1.390053694875121,0.5732545014519945,-0.5579299525033214,-0.5579299525033214,0.6231381747198073,0.6231381747198073,0.2224630326122264,-0.15150043335483362,0.627590120743225,0.627590120743225,-2.084672379677277,-2.084672379677277,1.1766369165471542,0.7623023945949967,0.7623023945949967,1.1778647143099483,1.1778647143099483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-06-01,-0.8510252116729204,-1.4471369680107393,-0.9691241079414065,-0.7287564642568009,-0.13949656718723286,-0.25258496850134615,0.0970606736492409,-1.0774630398096263,-1.5610096446488326,-1.1945429035425597,0.4783047438346941,0.4783047438346941,1.1415651937879367,0.7086517412879146,0.48637628583763437,0.3793849516635962,-0.2910458815323843,2.0765885436048936,1.3329744398016221,1.3329744398016221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-07-01,NA,1.8047402987511085,1.1086694023191477,1.4565110129142869,1.2220704679354668,0.6406579163879953,-0.5438837845576223,-1.4003394489818723,-1.5203730080110256,-1.0311057837074011,-1.2680141238965248,-1.2680141238965248,-0.3274810130992706,-0.09664724573550929,0.24151836472733873,0.29614528782920174,0.5234815738692697,1.0816376233548424,0.2953916035132076,-0.8412898266871326,-0.3736751930289831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-08-01,0.7071067811865475,0.7071067811865475,-1.414213562373095,2.3699453052480006,1.1815493479207193,0.6998485714327128,0.4674152704410312,1.1858997338096928,0.21742764634433193,-0.5304192490032563,1.4481796393668358,0.719807923585591,-0.25111702691260734,-0.7303089451897392,-1.2145449889224198,-0.7277468497202544,-0.4953135487285724,-0.745117857003373,-0.9751299777763913,-0.24094597194901296,0.24075480453899362,-1.1929380321929188,-1.4272457952893722,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-09-01,-0.8808898330608983,-0.8808898330608983,0.2115123580739634,1.5502673080478335,-0.029735240304099343,0.21396843848527936,0.9258890127172844,0.8121905499303453,0.11105002941087724,0.46701031652687974,-0.5913599456441337,-1.3263392943740109,-1.0708435020948186,-1.8019545384629547,-1.8019545384629547,-0.8219820734897918,0.24444076933109365,-0.10923572531399697,1.2976013914567734,1.4078920599045246,1.4078920599045246,0.9516979813825349,0.6032741079450447,-0.8895018588484007,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1983-10-01,-1.079269322733375,-1.079269322733375,0.2718032863306043,1.5823486158431184,0.3043867432930273,-1.3298291287310768,-1.4782642943838948,-0.8582850923895348,0.9738922508176788,1.1155336531194644,2.1518457804745834,0.7009678257317309,0.8559024340747906,0.40415698416140744,0.8451247155993348,1.1387990744387684,0.12167890933830966,-0.18741008270769366,-0.032475474364633876,-0.48422092427801733,-0.340169429662472,-0.04076483943104944,-0.633788423947394,-1.3827348277511593,-1.539959110109141,NA,NA,NA,NA,NA,NA,NA,0.0
1983-11-01,-1.0782950791905017,-1.0782950791905017,-0.4724501725307598,0.11522158360227512,0.8837928245895661,1.6300259227199223,1.0217689033031496,1.190355228894625,0.96690587030061,0.7953861426438429,0.5725222015552154,0.7976088849832165,0.6841999140385153,0.5155069336211762,0.5706302030321146,0.7401794929947194,0.8487683553106539,0.3425699572095225,-0.17327884777323116,-0.6446319225016255,-0.5818749154783213,-1.3021425288186042,-1.490088756801036,-1.614775967950182,-1.680147850266124,-1.559461298298236,NA,NA,NA,NA,NA,NA,0.0
1983-12-01,-1.1864140521457507,-1.1864140521457507,-0.3700153047648639,0.4218944402940134,1.4575730298433285,0.8633759389190236,-1.9270320533988041,-0.9630444155140571,-0.23666406028985254,0.23171411404962908,1.160702648990107,0.48282228131071625,0.25986503292500623,0.25986503292500623,0.48093953121323674,-0.6582408954714818,-2.76341659546339,-0.37400753222589106,0.5420470186922111,0.5420470186922111,0.307756110180218,-0.12600680340035236,-0.3621975066997538,1.0350430021444301,0.3571626344650393,1.7506454368757562,NA,NA,NA,NA,NA,NA,0.0
1984-01-01,-1.45316193473611,-1.45316193473611,-0.5294306196642212,0.3665921052214622,1.5384321510144883,0.8661155141109261,0.44223529247982785,0.22237942630973606,-0.2969633282602913,0.8173532474704953,1.0137969499906974,0.9199950820373028,1.321286495741673,0.9242415520235925,0.125927782207452,-0.1857199539437254,-0.5025618190307557,0.12627751920430474,0.12627751920430474,0.9485599470228147,1.158941535704148,0.8531752065401683,-0.15827473904314548,-0.671011420824989,-1.1865890638312442,-1.707944134482124,-1.6050300850703996,-2.02173829266028,NA,NA,NA,NA,1.0
1984-02-01,-0.5444014199302633,-0.5444014199302633,-0.009551150942419134,0.5092555492364444,1.1877634156221915,0.7984849228118789,0.5530537602444648,0.419879539019888,-2.370083196131922,-0.7252968370114614,0.7629346354823335,0.40980318934603654,1.0244427874859765,1.0244427874859765,-0.19183681242999642,0.17945567950759583,0.4274942582565616,0.4274942582565616,1.2858192187409017,1.5270435508209401,1.0498388938799947,0.5673902297199183,-0.534608153318963,-1.0480915268694537,-1.694334490590047,-1.1716817710832979,-0.1386740431170164,-1.4002495729608944,-1.7813862816016655,NA,NA,NA,0.0
1984-03-01,-1.504035139137123,-1.504035139137123,-0.5276725609445652,0.41940267999865516,1.658010432785213,0.9473873389715906,0.4993557747235348,0.25624787420835504,-0.24466126146853726,1.2327886402123458,-0.4262705340460319,-0.4262705340460319,-0.5370994887349702,-0.07393542032994593,0.035860037358212096,-0.08381927068768118,1.1890451520396548,1.1890451520396548,1.6382584954927204,1.4163257127153128,0.32612958679120646,-0.016262603941267686,0.21036459947840425,0.5447971274164296,-0.23458046822859152,-0.8018569996174175,-1.9632296480912663,-1.8496144906308187,-1.369675045189919,NA,NA,NA,0.0
1984-04-01,-1.3114898131686232,-1.3114898131686232,-0.3425129066588866,0.5973982059730212,1.8266365396419262,1.1213889374523822,0.676746497399564,0.4354775808610428,-0.06164243947932787,-0.30980475363323556,-1.3207080352192406,-0.8011324084786547,-0.8804260172988642,-1.28892845101343,-1.7936347034733637,-1.4508550403443254,-1.0284483001902827,-0.5284050279378565,-0.5284050279378565,-0.6135270073204273,-0.20384336174933756,0.3641915085787812,0.9190162656434553,0.609158943040935,0.7676697699214149,0.8496216893821521,0.6163739186092909,0.7758063200646574,1.405255643501237,1.405255643501237,1.405255643501237,NA,0.0
1984-05-01,-1.2606287299859606,-1.2606287299859606,-0.2747412677005501,0.6815731453480718,1.9322641093773631,1.2147085472845804,0.7623062207657071,0.5168266863655515,0.011030942409175954,-0.24146229297384128,-1.0406243154520698,-1.0406243154520698,0.8628152675811372,1.3568557758819977,1.1069138999872068,-0.016143829130210178,0.755606524509846,1.0084212955298644,0.5070562378881593,0.25278010981022164,0.25278010981022164,0.6438002889878527,0.38952416090991504,0.0019490934431001064,0.5194758011781967,-0.1287944958794534,-0.5152193524385388,-0.5152193524385388,-0.5152193524385388,-1.5847493830119208,-1.7158990083261536,-2.6667337918543597,0.0
1984-06-01,-1.6810026214030613,-0.5801201126089602,0.4877399125022491,1.884312907775905,1.0830608403597375,0.5778897866089755,0.303777237229768,-0.2610151035241059,-0.5429594400284338,-1.4353366391454117,0.16365323223333952,-1.8369702094506122,-1.6214722167360482,-1.273060504541704,-0.6398663711864762,-0.16513544589578463,-0.0948020114919679,-0.29921725029549706,-0.29921725029549706,-0.44109086015248844,-0.3697238343403583,-0.7125406898026195,-0.22944082276666933,-0.16525541584570633,0.5110276072679012,0.7119976454174382,1.0480545130226695,1.0480545130226695,1.450402060395935,1.520142301940636,1.85811424173418,NA,0.0
1984-07-01,-0.6382180745055186,0.4933377748373612,1.973213699279458,1.124168466419076,0.5888649178750145,0.2984020750543658,-0.30007905713104993,-0.598840838318003,-1.5444466440750564,0.14991993904543802,0.14991993904543802,-1.6962421975265218,-0.678964345297886,-0.2861755061722094,-0.2861755061722094,-0.2861755061722094,0.498336322232527,0.7934047472774592,0.6075613767711481,-0.079727745457131,-0.3738312939953723,-0.277603655756849,-0.17303244744829854,-1.268492463424157,-1.5753041899856555,-1.5753041899856555,-0.9456145822623051,-0.21136781814265296,0.7060336266055106,1.8063459515921836,1.7059816309742069,1.9001055948195555,0.0
1984-08-01,-0.1823476214650095,0.7084743131926772,0.19738544117544396,-0.12484437205901276,-0.29969056511753495,-0.6599505782875748,-0.8397923768620549,-1.4090065788064545,-0.3890704526317154,-0.3890704526317154,0.6564989888833855,2.731414254609564,-1.139945821410682,0.9273657748822837,0.4485448444491161,-0.040937663138768544,1.9593259894906414,-0.4948387477257796,1.7576320611047245,0.057324403167857245,-0.18014005185017454,0.31992586130717793,-1.1564386741951098,-1.1564386741951098,-1.6592223368804915,0.12024718578655147,1.104419461681341,-0.6185589650280181,-0.35992272392189834,-0.12311676675267942,-1.1295420847218918,1.364316927950909,0.0
1984-09-01,1.649759893460538,0.790481558250301,0.2487262733458131,-0.045237367647154414,-0.6509316828799302,-0.9532942850441253,-1.9102969877136429,-0.19550908192128874,-0.19550908192128874,1.5623753453129223,-0.3005645832421448,0.824191817156052,0.5590781308177181,0.8255711209653128,0.020414166671604412,0.7587518024378884,0.7587518024378884,0.3122528268838305,0.9478652263695898,0.7706830932132184,1.666337438950839,0.5261886898254283,-0.10563466405981603,-0.29811573220744736,-0.6756747504970245,-0.6756747504970245,-0.9675955267190717,-1.2603285100625343,-1.8432266435622322,-2.143835538124221,NA,NA,0.0
1984-10-01,0.869892950115657,0.2764779937532278,-0.0455168737684375,-0.7089678370685865,-1.0401625579480138,-2.088421306625436,-0.2101179127490068,-0.2101179127490068,1.715391518804195,-0.3251910970243384,0.3727746562740841,1.3939583789856662,0.5348157780131008,0.29780499812562383,-0.05513623977594739,-0.6539439751616555,-1.1460810085585822,-1.2661206474658568,-1.2661206474658568,-1.6386544013103614,-1.1303286497095886,-0.5022347919897152,-0.004942865385824219,-0.6096294985943982,0.36226376232783425,1.9075740471941864,1.7890686572504453,1.3318762652781526,0.8719624900203106,0.6378245680708637,0.39361068886757006,0.1463914702696998,0.0
1984-11-01,0.44807709154546416,0.10300330160061173,-0.6080003864725884,-0.9629334275587224,-2.0863259276724944,-0.07339548632747092,-0.07339548632747092,1.9901244766915507,-0.19671651974810234,0.5512757994965358,0.9082865647726871,0.6082462107191108,0.49438534413851437,0.7026596734601899,1.5515342187739594,1.3415344198623824,1.451067398037053,1.0383091725901603,0.9297441602691267,0.303407550724714,0.4138997526135766,0.211685023675732,-0.32377718547797857,-0.5388069196928268,-1.0720806605456483,-1.3961462038904133,-0.8477030926966128,-1.2764276105318524,-0.8437774224128205,-1.3738769148081846,-1.3738769148081846,NA,0.0
1984-12-01,0.25286596765637726,-0.46673078958831477,-0.8259534908048575,-1.962923120857819,0.07433525409716162,0.07433525409716162,2.1627945670470257,-0.050476216276553854,0.7065562104201741,1.067881746846527,-0.11705424674974037,-0.9156311358871425,-0.3476384680512591,-0.03321293518762326,-1.3433193221194677,-1.3433193221194677,-1.6882718641412853,-1.6882718641412853,-0.005468341246061679,0.3362733217682572,-0.31275826470182944,0.3602281660546324,0.6895428595047944,1.6268231408629226,1.6268231408629226,1.3291191937926043,-0.5368466173088942,0.0692089772102843,1.0035446854273646,0.7013931131237068,-0.8552222871993053,0.41137268760898493,0.0
1985-01-01,-0.0537425440184125,-0.30030524519413043,-1.0806966352461391,0.3176334987365561,0.3176334987365561,1.7511068503722438,0.23196560200052654,0.75157630414108,0.9995823459734502,0.18626788028963548,-0.8720550226525619,-2.2489665331388045,-1.1974805998248061,-1.4634667516455955,-1.3932211388804827,-1.1891631715551696,-1.2585415545330587,-1.3927902172470796,-0.5174218120203082,-0.647626840315232,0.07231547757515244,0.07231547757515244,0.576491700970472,0.6992987162940933,0.5768257182378981,1.0744362731484756,0.7161926041381328,0.8376197653569943,0.7799823394984426,0.9000603100370944,1.1388894227106563,1.6152842804791674,1.0
1985-02-01,-0.5673339773451328,-1.5420926914047315,0.20451100080273882,0.20451100080273882,1.9950108175498005,0.09750632350480326,0.7465332941847029,1.05630868829742,0.04042694895225603,-1.2814859848424223,-0.9538954205021738,-1.2264947704004434,-0.2551557046436812,-0.07064638442817447,-0.2689826334570468,-0.636141457136623,-0.636141457136623,-1.9704545948340713,-2.347510949883056,0.005559516154624894,0.5793038347881588,0.7745730284196776,0.5793038347881588,0.5793038347881588,0.5793038347881588,0.18370835061402946,0.3682176708295362,0.9371214081606901,1.1211645995672312,1.703968039021295,NA,NA,0.0
1985-03-01,-1.6489513824489834,0.11722573533263717,0.11722573533263717,1.927790902370659,0.009021903299988608,0.665322236084238,0.9785691478906484,-0.04869713490070498,-1.3854241702231518,-1.0541624413488333,0.32207946861086556,0.287787596158851,0.11287525941322847,0.8008766836888239,-0.3771954289728213,-0.8801027205734481,-1.3952354225392087,-1.5591769263291821,-0.5370585114323427,-1.0457714691726008,-0.8843139275612633,-1.2206838059182232,-0.5410793578092636,1.2881847400878645,1.934798681007069,0.8205087724345743,0.0166783993160183,-0.15392575179547563,0.841099593106346,1.480021656754447,1.0117119401366077,NA,0.0
1985-04-01,-0.1715393203008185,-0.1715393203008185,1.9166453546898117,-0.29633437763392534,0.4605984972834347,0.8218765184398812,-0.36290365291887067,-1.9045951427493353,-1.5225400373935352,0.06472526394832277,1.0982421863770746,0.06736403055877971,2.0534612485511623,1.4068294223175966,0.4907870784663679,0.7560936969731508,1.0194708127998844,1.1464996217409291,1.0088850787214583,-0.31433168108112136,-0.18417408374251376,-0.3140246452706116,0.09716879956837642,0.09716879956837642,-0.43725661021596635,-0.03891997092628983,-1.115741109409061,-0.7035753845034587,-0.97209156600486,-0.7022591287117852,-1.1113616231174044,-2.182628755724229,0.0
1985-05-01,-0.44275953245520705,0.9185628022855733,-0.5241155067842386,-0.030658371088529583,0.20486478217540752,-0.5675131249825955,-1.5725674592671899,-1.323499379105685,-0.2887347187983193,0.38503215952681125,1.0679768353296772,2.1734115131642957,-2.337096140683989,-1.669888075507448,-1.1689901787295378,-1.1689901787295378,-0.5179764840669903,-0.3621266048101838,0.4541879584101619,0.9245222125066458,0.9245222125066458,-0.17101463591984672,-0.3378485760448551,0.15216442412999648,1.4293912917536615,1.4293912917536615,0.9586601628216039,0.6599213744039719,0.5105519801951558,0.67197926485315,0.20228938450121847,-0.5836506833434865,0.0
1985-06-01,0.46467189170710815,-0.6237107728664186,-0.25143776590092254,-0.07375483027583397,-0.6564507226070692,-1.4146819287691252,-1.2267804547938386,-0.4461352401874045,0.062166704690181734,0.5773925463304318,1.339706458646563,2.2490141140263282,-0.6727170672835525,0.8675931159057501,0.724934608014247,1.0108562157431116,0.5719206288121169,0.2621722204391676,0.10694166852624613,-1.2483669929274697,-2.469463572541795,-1.7019651627309962,-1.0941670904454877,-0.5025755165083281,0.095841957535414,-0.49856849201252845,-0.04681655035608927,1.1420043487397955,1.002420377656299,1.1546336054084696,0.4286935961289048,0.8666281018967236,0.0
1985-07-01,-0.6423820354393373,-0.3429920033101672,-0.20009552999554145,-0.6687122136186789,-1.27849820649685,-1.1273837628547045,-0.49957193790505106,-0.09078448149319013,0.323571322973584,0.9366407167531685,2.238009449374938,1.3521986820118308,-0.05019428334485345,-0.36696003947942857,-0.44876425811594106,-0.2924607460522666,-0.8390369527158432,-0.8390369527158432,0.7516625063392516,0.7516625063392516,0.6789999337780706,0.15112933860606748,0.9243099944613054,0.7675608745316069,0.8405183738205859,1.0710825418267504,0.9988820910659585,1.0774278895651848,-0.05489719951324418,-0.6725700508998896,-1.6144588074362196,-2.8348567600605055,0.0
1985-08-01,-0.42659795351284663,-0.3131568469288804,-0.6851771908940526,-1.169267499121569,-1.04930239914432,-0.5509019383297388,-0.22637817411546854,0.10256613002215731,0.5892630290421215,1.6223795621376733,2.106573280844925,1.872260928060075,1.0082815223641914,0.7151225909845716,-0.8986248887593463,-0.1359230689533659,0.018261935050541,-0.9928627632065231,-0.6844927551987092,-0.6844927551987092,0.04739879143448038,-0.9615734327443356,-1.5505323669574453,-1.242162358949632,-1.1005059305690172,0.521513658477447,-0.18647156165436185,0.39073523419284967,0.8150956452127139,1.0999764265342025,1.948995149880374,NA,0.0
1985-09-01,-0.5787893683918791,-0.8438424771396018,-1.1887420053287343,-1.1032705433347687,-0.748175469414377,-0.516962220024021,-0.28259947123656093,0.06415717311296111,0.800221082621311,1.1451942876121977,1.3353570443037746,1.9174519672196986,1.6102439897795422,1.015995297667013,0.12275387933087914,0.12275387933087914,0.8676726257353654,-0.3233159320461465,-0.4691122861437733,-0.7735055670946284,-1.6907803868209725,-1.378753593241476,-2.1614791728293925,-1.050330959106564,0.6761653896554277,0.2134876026101246,1.1185862079153224,0.0683148348883181,0.6771013967900285,0.6771013967900285,0.6771013967900285,NA,0.0
1985-10-01,-0.953892638921034,-1.2725236630252492,-1.193561944492867,-0.865511895681053,-0.6519084882582598,-0.43539545604246105,-0.11504875889232341,0.5649544829914618,0.8836535724679869,1.0593330065027335,1.430074500022934,1.5498272833281315,0.9909855963812343,0.030080101174656877,-0.0831666261827321,-1.2853241935149933,-1.7327675568501224,-1.7327675568501224,-1.3923760636213443,-1.3923760636213443,-0.6085516105521195,0.04912064974905922,0.04912064974905922,0.2688473013868459,0.6006396126766905,1.243795003379132,1.1317971021767432,1.3467262286696002,1.1331772440858434,0.39002677773437244,0.27678005037698356,0.7162333536525569,0.0
1985-11-01,-1.389049400213953,-1.3061003814907168,-0.9614849127950819,-0.7370952544773731,-0.5096490451382526,-0.173125921354716,0.541215188378698,0.876007505863851,1.0605581581784858,1.4500208454030048,1.1487032176460534,-1.5121935652176346,-1.9774031359954805,-1.5982409121038577,-1.0279840188922984,-1.0279840188922984,-1.2050572739450718,-0.36966294818418843,0.17792877598986998,0.08437367855033366,0.2646691850130849,0.7108550343400937,0.5327405219071341,0.8904117695457906,1.33036176844847,1.1550744704985731,0.8024287808660167,0.5382654115295324,0.5382654115295324,1.0643812222762983,0.6287698427361075,NA,0.0
1985-12-01,-1.679480529617632,-1.3298179109666852,-1.1021418991424514,-0.8713645708328249,-0.5299128155064436,0.1948903512951421,0.5345859513770679,0.721839485312508,1.117006143376934,0.8112754947616204,0.8112754947616204,1.3218448051811444,-1.4528162471247312,-1.508536348103442,-0.8637712725603446,-1.3724930470438916,-1.2554579988816381,-1.0782908206676913,-0.6762145720053044,-0.11301340934378422,0.43827137350544154,1.0904249298408994,1.8770376374304796,1.775049952603373,0.2955205788985565,0.6212607129471104,0.6727913326492294,0.24497782326211492,0.08366600420733039,0.13628056293895807,0.29850878569480616,0.7868040217525283,0.0
